idade,experiencia,cidade,nivel,bonus,salario
39.0,3,SP,junior,2118.15,62349.15
46.0,16,BH,pleno,1814.58,54129.78
54.0,8,RJ,pleno,2929.34,64960.92
33.0,2,RJ,senior,2726.73,45674.03
,17,RJ,pleno,3001.39,57394.99
25.0,9,SP,junior,3069.72,67346.33
26.0,12,SP,junior,4991.57,63691.24
58.0,3,SP,junior,2729.14,55373.75
29.0,11,SP,pleno,4263.95,57679.75
49.0,1,SP,junior,4313.62,70353.35
52.0,13,BH,pleno,3602.9,47895.98
30.0,15,SP,junior,2811.9,47954.06
50.0,5,SP,junior,1910.82,50703.66
35.0,17,BH,pleno,3382.36,59893.22
43.0,6,SP,junior,3815.05,46432.62
32.0,11,RJ,senior,4398.15,69530.02
44.0,18,SP,pleno,2240.03,50757.08
22.0,4,SP,pleno,2805.18,62243.56
58.0,3,RJ,pleno,2244.91,54209.27
42.0,13,RJ,senior,2493.22,59345.03
47.0,9,RJ,pleno,3531.51,43966.54
57.0,6,RJ,junior,2456.56,70013.16
44.0,12,SP,junior,2340.58,50385.02
22.0,2,RJ,junior,3637.6,49337.83
36.0,3,RJ,pleno,3360.59,83790.09
42.0,3,BH,junior,3280.01,65543.07
30.0,12,RJ,pleno,2477.69,69624.16
30.0,15,RJ,junior,4034.42,64588.91
31.0,9,BH,senior,3011.59,55475.19
47.0,8,BH,senior,4904.15,46931.5
56.0,11,SP,senior,3128.93,57011.8
46.0,16,BH,senior,1133.32,50218.41
47.0,4,SP,pleno,1097.7,50818.85
32.0,1,BH,junior,3499.16,44168.13
59.0,7,BH,senior,4040.4,61144.76
23.0,2,SP,pleno,2372.94,75734.12
28.0,5,BH,senior,4680.78,65581.37
39.0,7,SP,senior,4330.4,58942.1
48.0,4,BH,pleno,3168.44,59594.28
55.0,5,RJ,pleno,3431.56,29522.23
48.0,1,BH,junior,3715.62,55761.65
38.0,1,SP,junior,4512.0,45733.24
45.0,15,BH,senior,3545.71,61344.13
46.0,19,SP,senior,3150.35,57400.24
28.0,10,SP,junior,3537.84,51306.95
27.0,18,RJ,junior,3429.89,61118.97
45.0,3,RJ,pleno,3739.53,61032.79
54.0,11,SP,junior,1743.98,75186.24
50.0,15,BH,junior,3252.68,66864.18
43.0,11,SP,senior,3368.35,62169.73
47.0,17,SP,junior,2941.72,50524.86
49.0,17,BH,senior,3627.33,49265.61
42.0,6,BH,junior,4536.93,65988.48
28.0,5,BH,pleno,3110.57,57999.31
38.0,8,BH,junior,3553.38,62493.66
41.0,2,SP,junior,4285.01,69780.01
41.0,16,SP,junior,3129.25,44868.61
43.0,12,RJ,senior,2289.23,73970.35
49.0,6,SP,pleno,3492.62,69693.82
28.0,1,BH,junior,1238.67,39455.6
22.0,4,RJ,senior,1161.31,83530.92
53.0,17,BH,pleno,3266.41,63213.76
34.0,13,SP,senior,1124.02,55214.62
51.0,18,RJ,senior,1947.87,65190.62
44.0,5,BH,pleno,2695.92,50225.25
40.0,3,RJ,junior,2422.87,65461.28
53.0,11,RJ,senior,2881.75,52065.04
51.0,13,SP,senior,3890.3,80203.6
50.0,4,BH,junior,3190.78,60601.0
50.0,14,RJ,junior,2328.54,66498.23
51.0,11,RJ,pleno,4083.55,52139.35
37.0,10,BH,pleno,1856.91,68164.96
40.0,19,RJ,pleno,3177.51,59874.2
39.0,18,RJ,junior,1767.93,45881.48
22.0,6,RJ,senior,3201.85,57612.37
35.0,15,BH,senior,2745.1,79311.11
23.0,10,BH,pleno,3865.79,68589.77
49.0,5,BH,junior,3576.55,56210.25
51.0,5,BH,senior,2530.29,41308.34
59.0,10,SP,pleno,2376.85,51675.09
25.0,5,RJ,senior,2747.92,45935.26
22.0,3,BH,senior,4500.46,41549.92
29.0,6,RJ,junior,4295.25,67855.91
50.0,4,RJ,junior,2225.39,60623.87
24.0,18,SP,senior,3640.18,77951.08
53.0,9,BH,pleno,1614.85,50023.58
31.0,17,BH,junior,2642.13,59977.19
31.0,13,RJ,senior,2257.95,46058.26
40.0,15,BH,junior,3855.42,54051.27
55.0,17,RJ,junior,1967.43,57778.9
54.0,13,RJ,junior,3343.48,56253.46
44.0,16,SP,senior,3000.57,60535.41
49.0,4,SP,pleno,2859.64,69716.1
53.0,5,SP,pleno,4337.27,68664.18
28.0,5,RJ,pleno,4407.76,52306.65
50.0,9,BH,junior,2884.49,59696.46
29.0,17,SP,senior,2723.27,67940.96
22.0,13,BH,junior,1794.5,70357.37
24.0,2,SP,pleno,2996.59,53388.43
45.0,13,SP,pleno,4562.64,67081.64
44.0,19,RJ,senior,2897.01,63311.47
29.0,3,SP,junior,3583.01,49340.11
58.0,10,SP,pleno,1882.0,68001.58
24.0,2,RJ,senior,2652.18,61515.43
54.0,13,BH,junior,3369.97,42586.09
49.0,19,SP,junior,3084.69,57061.46
29.0,17,RJ,pleno,3659.73,60398.58
55.0,14,SP,pleno,2517.86,53941.76
56.0,12,RJ,junior,1600.01,72282.28
53.0,12,BH,junior,3897.67,72644.68
45.0,11,BH,pleno,2251.08,56175.1
35.0,7,RJ,junior,3405.28,55077.74
53.0,4,RJ,pleno,3360.69,58687.65
37.0,19,RJ,junior,1669.0,57999.19
25.0,1,BH,pleno,3839.3,54074.98
58.0,3,SP,senior,2546.75,22912.03
42.0,13,BH,pleno,3044.04,77548.12
35.0,15,RJ,pleno,2713.45,60004.18
52.0,2,RJ,senior,4298.07,58216.9
39.0,11,BH,junior,4074.79,63251.69
28.0,4,RJ,senior,1550.13,59199.42
31.0,19,BH,pleno,4807.06,55696.84
28.0,17,RJ,junior,2457.35,49943.54
54.0,3,SP,senior,4681.95,41613.87
44.0,18,SP,junior,2795.03,46456.21
42.0,8,RJ,junior,2727.27,48833.26
40.0,19,BH,senior,2802.14,66509.22
40.0,5,SP,junior,2679.37,67246.23
57.0,7,BH,senior,5019.52,51182.01
50.0,8,RJ,pleno,2938.91,33363.46
39.0,5,BH,junior,2758.16,60091.21
23.0,17,SP,pleno,3061.61,55784.58
22.0,5,BH,pleno,2226.13,55537.38
26.0,4,BH,junior,4277.7,69559.37
41.0,19,RJ,senior,1823.14,61386.53
32.0,2,RJ,junior,2508.79,50236.2
23.0,11,RJ,pleno,3749.33,47935.87
24.0,13,SP,pleno,3033.88,57373.89
44.0,15,SP,senior,3439.37,50935.87
33.0,12,RJ,junior,4226.53,59276.02
41.0,11,RJ,pleno,3803.04,70261.42
26.0,7,SP,pleno,3109.98,46202.18
58.0,5,SP,pleno,4671.47,60877.79
59.0,17,SP,senior,2497.33,69150.5
51.0,9,SP,pleno,2919.75,59138.13
30.0,14,RJ,pleno,2975.65,67215.81
55.0,12,SP,junior,2918.06,57127.28
56.0,6,RJ,junior,2144.63,61708.28
43.0,17,BH,pleno,1733.08,64407.85
45.0,19,BH,pleno,3333.76,54279.98
38.0,19,SP,junior,2493.22,79906.76
31.0,16,BH,senior,4526.25,65775.8
51.0,12,BH,senior,2941.97,250000.0
44.0,12,BH,senior,2798.81,70710.24
53.0,6,SP,senior,3875.47,63272.89
38.0,4,SP,senior,3321.75,73857.89
38.0,6,BH,senior,2859.59,61879.15
35.0,11,RJ,senior,2487.41,52702.25
30.0,1,BH,senior,5926.16,60148.19
23.0,15,SP,junior,3289.43,49938.33
46.0,11,SP,senior,3867.54,38982.96
30.0,19,SP,senior,2181.64,51474.58
43.0,18,BH,senior,2537.61,60728.82
25.0,17,RJ,pleno,4689.88,70619.25
47.0,19,SP,junior,4117.54,51444.81
50.0,14,SP,junior,3366.1,70101.62
55.0,18,BH,junior,2694.74,47893.17
44.0,19,RJ,senior,2812.77,50804.78
58.0,15,BH,senior,2459.11,74491.57
32.0,15,SP,pleno,2074.52,60476.21
27.0,4,RJ,junior,3739.08,58263.78
39.0,7,RJ,senior,3431.06,62352.8
42.0,13,SP,junior,3588.86,47935.97
57.0,3,RJ,pleno,2730.48,56691.52
59.0,16,RJ,pleno,3204.51,60026.61
55.0,9,BH,pleno,2654.36,72313.81
38.0,8,SP,junior,2418.15,43295.83
58.0,13,SP,senior,4333.65,77629.9
46.0,17,SP,senior,3097.21,58753.52
59.0,17,SP,pleno,3405.96,48894.44
33.0,17,SP,senior,3668.6,47083.65
44.0,1,RJ,pleno,3107.23,62731.49
43.0,8,BH,junior,3192.51,46527.91
42.0,19,SP,pleno,2130.7,54398.76
48.0,6,BH,junior,2283.11,57500.97
52.0,3,BH,pleno,2241.75,71436.76
27.0,5,RJ,senior,3484.37,70184.53
48.0,13,SP,senior,3056.71,53570.08
55.0,15,RJ,pleno,2283.17,57873.17
33.0,14,SP,senior,3464.08,44046.15
28.0,16,RJ,senior,3434.77,39609.04
31.0,18,BH,senior,2444.03,47709.48
38.0,11,SP,junior,2977.74,71230.97
47.0,3,BH,senior,3437.71,67800.81
42.0,10,BH,junior,2313.32,63834.36
49.0,10,RJ,pleno,3452.98,45423.76
23.0,16,SP,senior,3240.82,52883.4
22.0,12,BH,senior,2200.64,51421.79
57.0,2,RJ,senior,3175.84,58340.02
47.0,9,SP,pleno,3292.52,57709.46
50.0,3,SP,junior,2499.2,49980.43
42.0,15,BH,junior,2562.17,63492.17
32.0,3,SP,senior,2193.26,62289.46
32.0,19,BH,pleno,2640.8,52711.77
,18,SP,pleno,2990.33,63042.78
56.0,8,RJ,pleno,2564.38,71242.85
55.0,17,BH,pleno,1812.09,74280.61
45.0,8,BH,pleno,2449.13,64906.62
43.0,7,SP,junior,2666.17,64612.68
26.0,7,SP,junior,3653.47,57598.61
54.0,3,BH,junior,3475.81,70297.13
57.0,1,SP,senior,3668.98,49296.49
41.0,4,RJ,pleno,2408.78,69138.5
40.0,5,SP,senior,3113.24,57123.95
56.0,1,RJ,pleno,1061.56,74909.37
38.0,15,RJ,junior,3343.14,65882.06
55.0,5,RJ,senior,3488.72,59321.34
30.0,13,RJ,junior,2718.7,57635.12
47.0,8,RJ,pleno,3236.34,65256.13
23.0,8,SP,pleno,1788.06,64771.24
30.0,5,RJ,pleno,2359.15,56016.57
30.0,9,SP,junior,3612.36,60918.36
38.0,1,RJ,pleno,3409.0,68963.9
22.0,4,BH,junior,2670.52,46366.44
46.0,3,RJ,senior,3649.09,67258.78
46.0,2,BH,pleno,3110.64,65212.15
56.0,8,RJ,pleno,2596.62,71866.47
24.0,9,RJ,pleno,2853.74,52843.46
58.0,2,RJ,senior,2635.67,60057.16
51.0,14,BH,pleno,2052.98,62050.68
59.0,14,BH,junior,4005.35,67387.97
55.0,4,RJ,junior,2545.58,64291.17
33.0,6,SP,pleno,2334.11,47604.45
40.0,11,RJ,pleno,1776.52,62910.44
58.0,3,BH,senior,891.23,80042.29
38.0,8,RJ,senior,3561.2,66117.58
31.0,3,BH,senior,3634.89,76380.47
33.0,14,BH,pleno,3954.43,70430.61
37.0,13,BH,senior,2880.77,73624.02
45.0,13,RJ,senior,2742.41,63099.69
40.0,2,BH,junior,2593.82,65218.45
29.0,13,BH,senior,2666.75,62555.18
52.0,19,RJ,junior,3895.83,60043.41
42.0,6,BH,junior,2978.79,67421.95
38.0,16,RJ,senior,3302.46,54789.98
44.0,2,BH,junior,2646.39,78853.82
58.0,8,SP,pleno,4056.68,50719.87
37.0,17,SP,pleno,1476.21,68113.88
27.0,2,BH,senior,2023.58,73786.71
29.0,10,SP,pleno,3303.77,58233.78
46.0,16,RJ,junior,4400.49,48870.23
39.0,6,SP,pleno,2819.92,71555.3
46.0,2,BH,senior,2326.1,62033.95
33.0,2,BH,senior,3800.53,68133.16
36.0,13,RJ,junior,3258.96,58905.45
47.0,15,BH,senior,4032.17,77319.25
47.0,2,RJ,pleno,1967.72,38829.92
53.0,7,SP,senior,3969.33,63761.78
31.0,3,SP,junior,1761.23,73417.49
37.0,8,RJ,senior,2769.46,61053.39
28.0,14,RJ,pleno,3330.23,63023.59
38.0,7,BH,junior,3148.81,55659.88
44.0,7,SP,pleno,3848.47,60206.89
47.0,1,RJ,junior,1538.67,43281.43
,17,SP,senior,3112.81,52815.69
43.0,9,RJ,junior,3959.71,52132.45
28.0,13,SP,junior,3047.44,66691.24
35.0,19,BH,senior,2086.13,54286.3
36.0,19,SP,pleno,3806.01,54575.24
28.0,17,SP,senior,2481.35,56220.77
30.0,10,SP,junior,2340.54,52513.55
29.0,10,SP,senior,2239.89,62690.22
44.0,4,SP,junior,2841.05,63776.31
50.0,8,BH,senior,3146.45,68250.19
39.0,18,RJ,senior,1984.72,66527.5
52.0,14,SP,pleno,2149.08,65527.58
51.0,18,BH,junior,2444.41,56710.32
56.0,14,SP,pleno,2236.01,56068.96
39.0,15,SP,junior,3029.41,51287.89
38.0,4,RJ,senior,3288.98,51107.56
35.0,13,SP,junior,3179.1,61942.61
52.0,8,BH,pleno,3180.27,52805.84
45.0,18,BH,pleno,4336.79,74683.24
56.0,12,RJ,pleno,3338.95,59624.99
55.0,14,SP,junior,3627.17,75013.9
24.0,2,BH,pleno,2668.31,65717.67
58.0,18,SP,pleno,3755.2,52227.64
47.0,2,SP,pleno,2630.12,59379.54
44.0,11,SP,senior,3329.16,43265.48
36.0,9,RJ,senior,1902.91,61904.25
25.0,12,SP,junior,3132.99,53142.32
50.0,17,BH,junior,2219.7,48865.42
43.0,15,SP,pleno,3748.83,75221.47
46.0,17,BH,senior,3700.7,70305.88
34.0,18,SP,pleno,2626.7,70030.39
39.0,6,BH,pleno,4639.66,67821.11
54.0,17,BH,senior,2771.3,47651.11
37.0,18,SP,senior,1710.38,55995.21
23.0,8,SP,senior,2376.71,56604.96
56.0,9,BH,junior,2164.69,42902.63
55.0,6,RJ,junior,3303.68,54429.99
51.0,5,SP,pleno,2011.71,54539.02
34.0,12,RJ,junior,2568.63,61259.99
34.0,11,SP,senior,3251.64,85323.88
39.0,1,SP,senior,3110.92,59791.04
53.0,11,SP,junior,2989.88,61265.14
53.0,19,SP,pleno,3100.8,57497.9
56.0,9,RJ,pleno,2703.6,67377.13
50.0,2,SP,junior,1717.0,250000.0
50.0,12,BH,pleno,2682.53,78960.37
37.0,4,BH,pleno,3375.0,58758.41
31.0,4,RJ,pleno,2890.45,56048.1
51.0,18,SP,senior,3313.19,69700.37
46.0,15,BH,senior,2530.57,51090.77
41.0,19,RJ,junior,3795.47,67192.51
26.0,13,SP,senior,954.95,74051.7
22.0,19,BH,pleno,3113.15,57586.57
51.0,17,BH,senior,4079.1,80528.42
24.0,6,RJ,junior,4198.16,66442.92
35.0,16,SP,senior,2814.54,66566.94
51.0,12,SP,pleno,1939.04,73658.65
25.0,19,BH,pleno,4093.18,76307.35
39.0,5,BH,junior,2958.51,62618.39
58.0,17,BH,senior,2872.82,67969.05
46.0,1,SP,senior,2285.72,73963.41
22.0,10,RJ,senior,2000.09,48381.89
36.0,15,RJ,pleno,3451.09,42704.98
30.0,11,SP,junior,3535.9,59424.46
36.0,13,RJ,senior,3161.24,42465.09
45.0,5,BH,pleno,2388.76,56860.05
25.0,1,RJ,pleno,2148.0,63143.74
33.0,12,RJ,pleno,1854.2,57243.61
58.0,11,RJ,senior,2551.56,58584.07
58.0,17,BH,senior,2195.32,49983.33
27.0,4,SP,senior,1632.55,67881.44
45.0,15,BH,senior,3521.08,49365.37
32.0,9,SP,senior,1944.75,38970.98
34.0,19,SP,senior,3787.14,57926.61
55.0,19,SP,senior,3315.26,69150.2
46.0,12,RJ,senior,3235.47,60798.31
28.0,5,RJ,senior,4332.25,48352.03
25.0,10,SP,pleno,1971.36,61019.51
29.0,17,SP,senior,3699.02,64383.04
41.0,5,RJ,junior,2761.89,60903.17
50.0,16,BH,pleno,5056.86,57354.16
31.0,7,SP,senior,2695.36,64860.39
55.0,9,BH,junior,2566.15,150000.0
47.0,3,RJ,senior,3340.43,51060.45
24.0,15,SP,junior,2832.87,46947.92
27.0,16,BH,junior,2393.23,73483.86
26.0,18,BH,junior,2223.78,67120.32
26.0,14,BH,junior,4166.56,61851.25
44.0,3,RJ,pleno,2069.23,45493.78
30.0,12,RJ,pleno,3178.47,67441.48
56.0,9,BH,junior,3844.95,73865.4
41.0,7,BH,senior,3883.6,65714.95
56.0,9,RJ,junior,2518.68,59648.23
39.0,13,BH,pleno,2835.05,66317.18
38.0,18,BH,senior,2679.85,62729.16
45.0,5,RJ,pleno,1771.98,69260.76
24.0,13,BH,pleno,3430.01,69036.86
53.0,4,BH,senior,3030.8,57789.34
56.0,2,BH,junior,4152.47,53393.59
59.0,16,RJ,junior,2341.44,56001.77
34.0,9,BH,junior,3870.96,65358.5
46.0,9,RJ,junior,3927.39,56605.6
30.0,6,RJ,senior,3037.66,52494.7
25.0,11,SP,senior,1263.31,59990.47
35.0,1,SP,senior,2589.95,71074.57
58.0,4,BH,pleno,4428.7,61351.08
55.0,13,RJ,senior,3237.64,57237.82
32.0,13,SP,junior,3554.72,63204.32
24.0,13,BH,pleno,2928.67,60840.39
49.0,2,SP,junior,2821.25,40663.63
50.0,9,SP,junior,1506.12,66967.59
30.0,8,RJ,senior,3635.79,64074.58
24.0,7,RJ,senior,3863.74,60161.72
46.0,4,SP,junior,2239.31,70623.57
55.0,18,SP,junior,2856.92,72129.99
33.0,3,RJ,pleno,2749.01,67987.69
30.0,6,BH,senior,3336.12,51496.99
36.0,12,RJ,pleno,2564.51,51842.89
46.0,12,SP,pleno,3745.07,71173.36
